actual,predict
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.6131429672
1,0.5134771466
1,0.5134771466
1,0.4933221638
1,0.5045024753
1,0.5045320988
1,0.5045320988
1,0.5045320988
1,0.5136367679
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0.3657993376
1,0.2010449171
1,0.2010449171
1,0.2010449171
1,0.2010449171
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0.4732501209
1,0.375442028
1,0.8516854644
1,0.8516854644
1,0.8516854644
1,0.8516854644
1,0.8516854644
1,0.8516854644
1,0.2027540803
1,0
1,0.9513332844
1,0
1,0.9548923373
1,0.9740867019
1,0.8973092437
1,0.3130761385
1,0
1,0.3425099552
1,0
1,0.5054299831
1,0.763460815
1,0.8704756498
1,0.9445410371
1,0.7919515967
1,0.9290598035
1,0.9316831231
1,0.8877598047
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0.9960817099
1,0.9960817099
1,0.9966342449
1,0.9966342449
1,0.9862971306
1,0.9966342449
1,0.9966342449
